,index,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name
11,178124,67391035,3508434571204,10093940193322575519,target.com,1.0,1,01/18/2011,15:14:07,,,,,,,99,2,2,7,5,1,1,1,0,48075,bigdeal.com
12,207530,68015481,3354745376720,7405390425689258389,consumerstrickweekly.com,1.0,1,01/30/2011,20:55:39,,,,,,,99,2,5,7,5,1,1,1,0,45311,trackingspot.info
13,228325,68463388,3316926320570,10403549969693689745,7tracking.com,5.0,4,01/08/2011,10:48:41,,,,,,,99,3,1,4,3,0,1,1,0,43920,home-online-jobs.org
14,230380,68493041,3336609009592,1354232705423967177,internetnews10.com,1.0,1,01/06/2011,12:34:23,,,,,,,99,3,2,11,1,1,1,1,0,41642,theinstantwealthbuilder.com
15,282880,69386124,3563447324619,10403549969693689745,news11today.net,4.0,1,01/25/2011,22:46:56,,,,,,,99,3,1,6,1,0,5,1,1,32948,home-online-jobs.org
16,297905,69713799,3491490041798,479443933691733349,,2.0,0,01/20/2011,20:05:18,,,,,,,99,3,3,7,2,1,1,1,0,36272,trytadalafil.com
17,306034,69825408,3573424132030,10093940193322575519,bestbuy.com,4.0,1,01/12/2011,1:37:31,,,,,,,99,3,5,2,5,1,2,1,0,76134,bigdeal.com
18,312035,69937700,3319053422521,14325437869847223981,online8report.com,5.0,9,01/07/2011,17:21:50,,,,,,,99,2,2,7,4,0,1,1,0,56601,eprofits.com
19,312036,69937700,3319053488057,1354232705423967177,,1.0,0,01/07/2011,17:30:59,,,,,,,99,2,2,7,4,0,1,1,0,56601,theinstantwealthbuilder.com
20,312107,69937700,3578002018239,1549148620406576784,consumertipsonline.net,6.0,4,01/13/2011,13:36:19,,,,,,,99,2,2,7,4,0,1,1,0,56601,getleanspa.com
21,363406,70423512,3432247398351,10093940193322575519,,8.0,0,01/29/2011,12:29:07,,,,,,,99,1,2,5,1,1,1,1,0,3032,bigdeal.com
22,363407,70423512,3432247529423,11385444773187580308,,2.0,0,01/29/2011,12:29:04,,,,,,,99,1,2,5,1,1,1,1,0,3032,wikkit.org
23,378251,70622390,3434897084367,479443933691733349,news8consumerreport.com,5.0,5,01/29/2011,16:23:45,,,,,,,99,4,4,10,5,1,1,1,0,92126,trytadalafil.com
24,429256,70953983,3461397483445,8087271933502976839,,1.0,1,01/03/2011,1:13:13,,,,,,,99,4,3,8,7,1,1,1,0,80122,dermatalskincare.com
25,441203,71045245,2921261567923,10133794716842256287,health8news.com,1.0,1,01/01/2011,22:54:22,,,,,,,99,3,3,4,2,1,2,1,0,29940,dlxm.net
26,454059,71157972,3520023302082,10403549969693689745,news9today.org,5.0,8,01/16/2011,19:50:47,,,,,,,99,1,2,7,1,1,2,1,0,11207,home-online-jobs.org
27,454229,71157972,3709246705603,10403549969693689745,,1.0,1,01/17/2011,7:12:34,,,,,,,99,1,2,7,1,1,2,1,0,11207,home-online-jobs.org
28,454707,71158590,3517569372104,10403549969693689745,,2.0,0,01/22/2011,21:18:28,,,,,,,99,3,5,4,1,1,1,1,0,27360,home-online-jobs.org
29,454792,71158590,3549334343623,10403549969693689745,,1.0,2,01/21/2011,20:41:11,,,,,,,99,3,5,4,1,1,1,1,0,27360,home-online-jobs.org
30,454793,71158590,3549334540231,10403549969693689745,,2.0,0,01/21/2011,20:37:05,,,,,,,99,3,5,4,1,1,1,1,0,27360,home-online-jobs.org
31,462534,71183029,3710650748867,1549148620406576784,online6health.com,1.0,1,01/17/2011,3:07:48,,,,,,,99,3,6,4,5,1,2,1,0,21804,getleanspa.com
32,479130,71278306,3552681922503,4138040089195024334,onlinecareerjournal.com,1.0,1,01/21/2011,2:24:25,,,,,,,99,4,6,9,4,1,2,1,0,95926,msicourse.com
33,485180,71343237,3460257025975,10093940193322575519,live.com,18.0,3,01/05/2011,0:58:43,,,,,,,99,1,1,5,1,0,5,1,0,6706,bigdeal.com
34,486560,71345054,3519784685505,1549148620406576784,,3.0,9,01/15/2011,10:19:09,,,,,,,99,3,6,3,5,1,1,1,0,77701,getleanspa.com
35,522865,71545290,3559932628924,10403549969693689745,,8.0,8,01/10/2011,1:50:07,,,,,,,99,4,2,4,6,0,1,1,0,85742,home-online-jobs.org
