,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name,,Non-Product Domain Referrals,
645192,72303031,3.67696E+12,4.13804E+18,,3,3,1/13/11,16:36:04,,,,,,,99,4,4,3,7,1,1,1,0,80127,msicourse.com,,chan7reports.com,2
648330,72309250,3.56588E+12,8.08727E+18,live9.org,2,1,1/15/11,23:08:26,,,,,,,99,2,3,9,7,0,1,1,0,66012,dermatalskincare.com,,workfromhomeheaven.com,2
683638,72661516,3.67925E+12,1.00939E+19,,8,3,1/26/11,21:39:11,,,,,,,99,3,2,11,4,1,1,1,0,21221,bigdeal.com,,appspot.com,2
720946,73109409,2.99886E+12,4.13804E+18,onlinecareerjournal.com,2,0,1/1/11,23:31:43,,,,,,,99,2,1,9,4,0,1,1,0,60613,msicourse.com,,business2cnbc1e.com,2
733547,73148000,3.52737E+12,1.04035E+19,,3,0,1/6/11,23:17:34,,,,,,,99,1,2,5,5,1,1,1,0,11726,home-online-jobs.org,,unltracker.com,2
733531,73148000,3.45576E+12,1.04035E+19,,1,1,1/7/11,2:44:00,,,,,,,99,1,2,5,5,1,1,1,0,11726,home-online-jobs.org,,bidcactus.com,2
791963,73563765,3.74441E+12,1.00939E+19,ebay.com,2,0,1/25/11,1:55:16,,,,,,,99,3,4,8,1,1,5,1,1,78521,bigdeal.com,,lanews9.com,1
820388,73641755,3.75623E+12,7.84149E+18,,1,1,1/18/11,22:00:27,,,,,,,99,2,2,11,3,0,1,1,0,43224,freetvbar.com,,michigan.gov,1
820387,73641755,3.75623E+12,1.68334E+19,,2,0,1/18/11,22:00:32,,,,,,,99,2,2,11,3,0,1,1,0,43224,tvneto.com,,target.com,1
820386,73641755,3.75623E+12,1.13854E+19,savingmore.com,1,1,1/18/11,22:00:36,,,,,,,99,2,2,11,3,0,1,1,0,43224,wikkit.org,,shopcompare.net,1
820860,73644491,3.52593E+12,8.08727E+18,,1,1,1/8/11,19:22:35,,,,,,,99,3,2,11,1,1,1,1,0,24064,dermatalskincare.com,,freetvbar.com,1
